Name	Set	ImageFile	Type	Color	Req. and Keywords	Text
Move Action	Beta	moveaction	Action			
Attack action	Beta	attackaction	Action			
It's THAT time!	Beta	itsthattime	Combat Attack		Fighting	
Superspeed	Beta	superspeed	Combat Movement		Speedster	
Bamf!	Beta	bamf	Combat Movement		Teleporter	
Weapon Throw	Beta	weaponthrow	Combat Attack		Fighting-5	
Sweep	Beta	sweep	Combat Attack		Fighting-4	
Heal Others	Beta	healothers	Combat Movement		Healing-4, Melee Distance	
Intervene	Beta	intervene	Combat Maneuver			
Healing Bubble	Beta	healingbubble	Combat Attack		Healing-5	
Exploit	Beta	exploit	Combat Attack		Aim, Fighting	
Mind Rape	Beta	mindrape	Combat Attack		Psyche-5	
Cleave	Beta	cleave	Combat Maneuver			
Dodge	Beta	dodge	Combat Maneuver			
Protect	Beta	protect	Combat Maneuver			
Run	Beta	run	Combat Maneuver			
Tackle	Beta	tackle	Combat Maneuver			
Turtle Up	Beta	turtleup	Combat Maneuver			
Suppression	Beta	suppression	Combat Maneuver			
Grapple	Beta	grapple	Combat Maneuver			
Flanking	Beta	flanking	Combat Maneuver		Aim	
Down Sights	Beta	downsights	Combat Maneuver		Aim	
Take the Blow	Beta	taketheblow	Combat Maneuver		Resilience	
Evade	Beta	evade	Combat Movement			
Get Close	Beta	getclose	Combat Movement			
Just Jump!	Beta	justjump	Combat Movement		Body-5	
Back Off!	Beta	backoff	Combat Movement			
Seek Cover	Beta	seekcover	Combat Movement			
Telekinetic Shield	Beta	telekineticshield	Combat Maneuver		Telekinesis	
Cybernetic Search	Beta	cyberneticsearch	Combat Movement		Movement, Hacking	
Invasion	Beta	invasion	Combat Movement		Movement, Hacking-5	
The Avenger	Alpha	TheAvenger	Equipment	Silver	Melee Weapon, The Captain, Advantage, Shield	
Enhancing Helmet	Alpha	enhancinghelmet	Equipment	White	Mental Weapon, Psyche X	
Healing Crystals	Alpha	healingcrystals	Equipment	Green	Healing X	
Aegis of the Ages	Alpha	aegisoftheages	Equipment	Red	Melee Weapon, Athena, Move	
The Corpse Maker	Alpha	TheCorpseMaker	Equipment	Blue	Ranged Weapon, The Ratman, Supercharged, Stunner	
Cao Cao's Tang Dao	Alpha	caocaotangdao	Equipment	White	Melee Weapon, Area Damage	
Gadgets	Alpha	Gadgets	Equipment	Gold	Ranged Weapon, Stunner, Entangler, Area Damage	
Wabbajack	Alpha	wabbajack	Equipment	Green	Ranged Weapon, Smiling Jack, Damage Shift, Mental	
Dragon Breath	Alpha	dragonbreath	Equipment	Red	Ranged Weapon, Supercharged, Destroyer, Area Damage, Persistent	
Light Lance	Alpha	lightlance	Equipment	Black	Melee Weapon, Dr. Simoakli, Move, Stunner	
Building Collapse	Beta	buildingcollapse	Event			
Despair	Beta	despair	Event			
Evade Pursuit	Beta	evadepursuit	Event			
Infighting	Beta	infighting	Event			
Take a Hostage	Beta	takeahostage	Event			
Time Rift	Beta	timerift	Event			
The Captain	Alpha	CaptainA	Hero	Silver	Captain, Tactician	
The Ratman	Alpha	TheRatmanA	Hero	Blue	Inventor, Telekinesis, Overcharged	
Metal Knight	Alpha	MKnightA	Hero	Black	Sergeant, Armor,  Spirit of the Night, Rich	
Hope	Alpha	HopeA	Hero	Green	Support, Speedster	
Athena	Alpha	AthenaA	Hero	Red	Tank, Armor	
Alex Smith	Alpha	alexsmith	Hero	White	Mentalist, Telekinesis, Mental Armor	
Mercs	Alpha	mercs	Mook	Gold		
Street Thugs	Alpha	streetthugs	Mook	Gold		
Winged Hoplites	Alpha	wingedhoplites	Mook	Black		
Social Revolution	Alpha	socialrevolution	Objective	Gold	Masterplan	
Escape the Military	Alpha	escapethemilitary	Objective	Gold	Military Base	
Steal a Nuclear Reactor	Alpha	stealanuclearreactor	Objective	Gold	Military base	
Dark Night	Alpha	darknight	Plot Detail	Black	Metal Knight	
Prototype XXII	Beta	prototypeXXII	Plot Detail	Gold	Rich, Ranged Weapon	
The Stare	Alpha	thestare	Plot Detail	White	Alex Smith	
Squad Leader	Beta	squadleader	Plot Detail	Silver		
Improvised Pack	Beta	improvisedpack	Plot Detail	Blue		
Killing Blow	Beta	killingblow	Plot Detail	Black		
Harm Wave	Beta	harmwave	Plot Detail	Green		
Metal Skin	Beta	metalskin	Plot Detail	Red		
Thought Burst	Beta	thoughtburst	Plot Detail	White		
Mind Games	Alpha	mindgames	Plot Detail	White		
Overprepared	Alpha	overprepared	Plot Detail	Black		
No Scape!	Alpha	noscape	Plot Detail	Gold	Hero	
Cure Aura	Alpha	cureaura	Plot Detail	Green	Hope	
Heaven's Gate	Alpha	heavensgate	Plot Location	Gold	Hero	
Peace	Alpha	peace	Plot Detail	Green		
Ricochet Strike	Alpha	ricochetstrike	Plot Detail	Silver	The Captain	
Can't Get Me!	Alpha	cantgetme	Plot Detail	Gold	Hero	
Intimidate	Alpha	intimidate	Plot Detail	Silver		
Rise to godhood	Alpha	risetogodhood	Plot Detail	Red	Athena	
Nevada Desert	Alpha	nevadadesert	Plot Location	Red	Location, Hero	
Rat Swarm 	Alpha	ratswarm	Plot Detail	Blue	The Ratman	
Invention	Alpha	invention	Plot Detail	Blue		
Nanobots Heal	Alpha	nanobotsheal	Plot Detail	Gold		
A.W.T.S. Metro	Alpha	awtsmetro	Plot Detail	Gold	Location	
Santa Monica	Alpha	santamonica	Plot Location	Gold		
Villain Lair	Alpha	villainlair	Plot Lair	Gold		
4000 A.D.	Alpha	4000ad	Plot Lair	Black		
Angelwood Drive	Alpha	angelwooddrive	Plot Location	Gold		
Military Base	Alpha	militarybase	Plot Location	Gold		
Dragon Temple	Alpha	dragontemple	Plot Lair	Red		
Mind of Steel	Beta	mindofsteel	 Plot Detail	Gold		
Fast Feet	Beta	fastfeet	 Plot Detail	Gold		
Simoakli Helps	Beta	simoaklihelps	 Plot Detail	Gold		
True Power	Beta	truepower	 Plot Detail	Gold		
Downtown	Beta	downtown	Plot Location	Gold		
F&F RPG Party	Promo	ffrpgparty	Plot Detail	Gold		
F&F RPG Group	Promo	ffrpggroup	Plot Bystander	Gold		
Oriahe	Promo	oriahe	Plot Bystander	Gold		
Atrus	Promo	atrus	Plot Bystander	Gold		
Jean Michel	Promo	jeanmichel	Plot Bystander	Gold		
Jarvis	Promo	jarvis	Plot Bystander	Gold		
Statuses	Alpha	statuses	Reference			
Reversal of Fortunes	Alpha	reversaloffortunes	Reference			
Aptitudes	Alpha	aptitudes	Reference			
Charisma	Alpha	charisma	Reference			
Energy	Alpha	energy	Reference			
Belief	Alpha	belief	Reference			
Hate	Alpha	hate	Reference			
Experiences	Alpha	experiences	Reference			
Talents	Alpha	talents	Reference			
Red Dragon	Alpha	reddragonA	Villain	Red	Armor, Overcharged	
Dr. Simoakli	Alpha	drsimoakliA	Villain	Black	Armor, Telekinesis	
Dr. Simoakli - Unbound	Alpha	drsimoakliunboundA	Villain	White	Telekinesis, Mental Armor	
Smiling Jack	Alpha	smilingjackA	Villain	Green	Teleporter	
1st Rule: Protect the Innocent	Beta	1struleprotecttheinnocent	Twist!	Gold		
Always Get Up	Beta	alwaysgetup	Twist!	Gold		
Cursed Family Picture	Beta	cursedfamilypicture	Twist!	Gold		
Da Boys in da Hood	Beta	daboysindahood	Twist!	Gold		
Do You Enjoy Getting Punched?	Beta	doyouenjoygettingpunched	Twist!	Gold		
Face Me!	Beta	faceme	Twist!	Gold		
Fratellos	Beta	fratellos	Twist!	Gold		
Friends in Cosmic Places	Beta	friendsincosmicplaces	Twist!	Gold		
Girl Power	Beta	girlpower	Twist!	Gold		
Heroic Stand	Beta	heroicstand	Twist!	Gold		
Psychic Friends Are The Best	Beta	psychicfriendsarethebest	Twist!	Gold		
Talent is Built, Not Born	Beta	talentisbuiltnotborn	Twist!	Gold		
I Was Born With It	Beta	iwasbornwithit	Twist!	Gold		
You Learn Something Every Day	Beta	youlearnsomethingeveryday	Twist!	Gold		
2nd Rule: Defend the Weak	Beta	2ndruledefendtheweak	Twist!	Gold		
3rd Rule: Clobber the Bad Guys	Beta	3rdruleclobberthebadguys	Twist!	Gold		
Jordan James	Beta	jordanjames	Plot Bystander	Gold	Angelwood Drive, Downtown	
Oblivious Cop	Beta	obliviouscop	Plot Bystander	Gold	Golden Location	
Mob Enforcer	Beta	mobenforcer	Plot Bystander	Gold	Heaven's Gate, Santa Monica.	
Scared Soldier	Beta	scaredsoldier	Plot Bystander	Gold	Military Base	
Becca & Summer	Beta	becca&summer	Plot Bystander	Gold	Heaven's Gate, A.W.T.S. Metro	
Bunny Colvin	Beta	bunnycolvin	Plot Bystander	Gold	A.W.T.S. Metro, Downtown, Heave's Gate	
Watson Kovacs	Beta	watsonkovacs	Plot Bystander	Gold	Cannot be Played	
Metro Conductor	Beta	metroconductor	Plot Bystander	Gold	A.W.T.S. Metro	
Hillbilly	Beta	hillbilly	Plot Bystander	Red	Nevada Desert	
Club Bouncer	Beta	clubbouncer	Plot Bystander	Gold	Angelwood Drive, Santa Monica	
Augur	Beta	augur	Plot Detail	Gold		
Cab Driver	Beta	cabdriver	Plot Bystander	Gold	Golden Location	
Ares	Beta	ares	Ally	Red		
